,L,R
1747,z,E4
1748,z,z
1749,z,G5
1750,z,D5
1751,z,E4
1752,z,B4
1753,z,z
1754,z,A4
1755,z,G4
1756,E2,E3C4
1757,z,G4
1758,z,C5
1759,z,B4
1760,z,G4
1761,z,B4
1762,z,B4
1763,z,D6
1764,z,G4
1765,z,C5
1766,z,B4
1767,F3,D4
1768,E3G3,C5E5
1769,z,z
1770,z,D5
1771,z,D5
1772,z,F#3
1773,z,A5
1774,A#2,A#4
1775,z,G4
1776,z,D5
1777,F3,D4
1778,z,D5
1779,A3,B4D5
1780,z,C5
1781,z,E5
1782,z,A4
1783,z,E4
1784,z,E5
1785,D3,G4B4
1786,z,z
1787,z,z
1788,z,z
1789,F#3,B5D6
1790,z,G5
1791,z,G4
1792,z,C6
1793,z,C5
1794,z,z
1795,z,C5
1796,z,D5
1797,z,F4A4
1798,z,E5
1799,z,G4
1800,z,E4
1801,F3,F4
1802,z,G5
1803,z,F5
1804,z,G3
1805,z,D5
1806,z,z
1807,z,C6
1808,z,F5
1809,z,E4
1810,z,D5
1811,z,B4
1812,z,F#5
1813,z,D5
1814,z,D5
1815,C3,C4
1816,z,A5
1817,z,F#5
1818,z,B4
1819,z,A5
1820,z,D5
1821,z,C5
1822,A#2,A#4
1823,C4D4,C5A5
1824,z,D5
1825,z,z
1826,z,E4
1827,F3,F4
1828,z,F#5
1829,z,G5
1830,z,F#4
1831,A2,D4F#4
1832,F3,D4
1833,z,F5
1834,z,C6
1835,F#3,D5B5
1836,z,F5
1837,z,z
1838,z,A4
1839,z,B5
1840,D4,E5G5
1841,z,F5
1842,z,z
1843,z,G4
1844,A3,C#5E5
1845,z,E4
1846,B2,D4F4
1847,z,F#5
1848,z,z
1849,z,D5
1850,z,A5
1851,z,z
1852,z,G5
1853,A3,C#5
1854,z,C5
1855,E3G3C4,G4A#4
1856,z,C5
1857,z,E5
1858,z,D5
1859,z,A4
1860,C4,D#5
1861,z,G5
1862,z,D5
1863,z,z
1864,z,z
1865,z,C6
1866,z,E4
1867,z,F5
1868,A3,B4D5
1869,z,C5
1870,z,E5
1871,A2,D4F#4
1872,z,z
1873,E3G3,C5E5
1874,z,E5
1875,z,z
1876,z,C5
1877,z,G5
1878,E3G3,C5E5
1879,z,C6
1880,z,A4
1881,C4D4,C5A5
1882,z,z
1883,z,z
1884,z,A5
1885,z,G5
1886,z,G5
1887,B3,G#5
1888,A3,C#5
1889,z,A4
1890,F3,A5C6
1891,z,z
1892,F3,F4
1893,z,A4
1894,G3,E6
1895,C3,C4
1896,A#2,A#3
1897,z,F5
1898,A3,C#5
1899,z,F#4
1900,z,G5
1901,z,G4
1902,z,z
1903,F3,F4
1904,z,B4
1905,z,F5
1906,z,D5
1907,z,C6
1908,z,B4
1909,A3,C#4E4
1910,z,C5
1911,C4D4,C5A5
1912,z,C5
1913,z,F5
1914,z,E4G#4
1915,z,F5
1916,z,D5
1917,B2,D4F4
1918,z,E5
1919,B3,G#5
1920,z,D5
1921,z,A3
1922,z,E5
1923,z,A5
1924,z,z
1925,z,D5
1926,z,F5
1927,z,G4
1928,z,E5
1929,z,F#5
1930,z,z
1931,z,A4
1932,F#2,F#5D6
1933,E3G3,C5E5
1934,z,C5
1935,z,z
1936,z,A5
1937,B3,G#5
1938,z,A5
1939,z,E5
1940,z,B5
1941,z,A5
1942,F3,D4
1943,B3,G#5
1944,z,D5
1945,z,B5
1946,z,z
1947,z,A5
1948,z,G4
1949,A#2,A#4
1950,A3,C#5
1951,z,D5
1952,z,E5
1953,z,E4
1954,z,A4
1955,A3,D5F#5
1956,z,G5
1957,z,C5
1958,z,G5
1959,z,A4
1960,z,A4
1961,A3,C#5
1962,z,C5
1963,z,E5
1964,z,B5
1965,B2,A3F#4
1966,z,G5
1967,A#2,A#3
1968,F3,F4
1969,z,z
1970,F3,F4
1971,z,A5
1972,F3,D4
1973,z,D5
1974,A#2,A#4
1975,z,G4
1976,E3G3,C5E5
1977,A3,C#5
1978,D4,A#5
1979,z,F#4
1980,z,G4
1981,z,C5
1982,z,G3
1983,G3,D#4
1984,A#2,A#4
1985,z,B4
1986,C4,D#5
1987,z,C5
1988,z,D5
1989,z,G4
1990,z,F#4
1991,A#2,A#4
1992,z,D6
1993,z,z
1994,B2,D4F4
1995,A3,C#5
1996,z,G5
1997,z,B5
1998,z,G5
1999,z,G4
2000,z,A5
2001,z,E5
2002,z,D5
2003,C3,C4
2004,z,A5
2005,E2,A4C#5
2006,z,A4
2007,z,B4
2008,z,E5
2009,F3,F4
2010,F3,D4
2011,z,D5
2012,z,F5
2013,z,E4
2014,z,z
2015,z,A4
2016,z,E5
2017,z,B5
2018,z,G4
2019,D3,F#4A4
2020,z,B4
2021,z,A5
2022,A#2,A#4
2023,F3,D4
2024,z,E4
2025,z,C6
2026,z,D5
2027,z,F5
2028,z,F#5A5
2029,F3,D4
2030,z,G5
2031,z,B4
2032,E3G3,C5E5
2033,z,z
2034,F3,F4
2035,z,F5
2036,z,A4
2037,z,E4
2038,z,C5
2039,z,D5
2040,z,F5
2041,A3,C#5
2042,z,F#4
2043,z,G5
2044,F3,D4
2045,z,G5
2046,z,D5
2047,z,z
2048,z,z
2049,z,D5
2050,z,E5
2051,z,z
2052,z,E4
2053,z,F#5
2054,z,G4
2055,A#2,A#4
2056,z,E4
2057,z,F#4
2058,z,E5
2059,D3,F#4A4
2060,B3,G#5
2061,E3G3,C5E5
2062,z,G5
2063,z,B5
2064,z,z
2065,z,G5
2066,z,z
2067,z,A5
2068,z,E5
2069,z,G5
2070,z,A4
2071,A3,D5F#5
2072,D4,A#5
2073,z,G4
2074,F3,D4
2075,z,A4
2076,z,A4
2077,z,F5
2078,z,z
2079,A#2,A#4
2080,z,F#4
2081,z,E5
2082,A3,C#5
2083,z,E5
2084,z,A4
2085,z,z
2086,z,B5
2087,z,C5
2088,z,A5
2089,z,G4
2090,z,D5
2091,A#2,A#4
2092,D3,F#4A4
2093,E3,C#4
2094,z,D5
2095,z,D5
2096,z,A4
2097,D3,F#4A4
2098,z,E5
2099,z,A4
2100,z,F5
2101,z,A4
2102,C4D4,G#5B5
2103,z,E4
2104,z,B3
2105,z,A4
2106,z,F#4
2107,A3,B4D5
2108,z,A4
2109,A3,B4D5
2110,z,C5
2111,C3,C4E4
2112,z,D5
2113,F3,D4
2114,D4,E5G5
2115,z,F5
2116,z,D5
2117,z,F#4
2118,A3,B4D5
2119,z,F#4
2120,z,D5
2121,z,A4
2122,z,G4
2123,z,D5
2124,z,A4
2125,z,A5
2126,z,F4A4
2127,z,E5
2128,z,G5
2129,z,C5
2130,z,D5
2131,D4,E5G5
2132,z,z
2133,z,A4
2134,z,C5
2135,F3,D4
2136,z,D5
2137,z,B4
2138,z,z
2139,z,F#5
2140,z,D5
2141,D4,A#5
2142,z,A4
2143,z,G5
2144,C3,C4
2145,z,G4
2146,z,B5
2147,z,B4
2148,z,D5
2149,z,D5
2150,z,G5
2151,z,F#4
2152,A#2,A#4
2153,z,G4
2154,E3G3,C5E5
2155,E3G3,C5E5
2156,z,F#5
2157,z,C5
2158,z,G4
2159,A3,G#4
2160,z,C5
2161,z,A5
2162,z,D6
2163,A3,C#5
2164,z,C5
2165,z,F#5
2166,z,D5
2167,z,D6
2168,z,A5
2169,B2,D4F4
2170,z,G4
2171,E3G3,C5E5
2172,z,A4
2173,z,G4
2174,z,D5
2175,A3,C#5
2176,z,A4
2177,z,E4G4
2178,C4,D#5
2179,z,z
2180,z,E5
2181,z,G5
2182,F3,F4
2183,z,B5
2184,z,D5
2185,F3,F4
2186,z,C5
2187,z,D6
2188,F3,D4
2189,F3,D4
2190,z,B4
2191,z,G4
2192,z,z
2193,z,G5
2194,z,A4
2195,z,C6
2196,F3,F4
2197,A#2,A#3
2198,z,z
2199,F3,D4
2200,z,G5
2201,z,B4
2202,z,G5
2203,z,B4
2204,z,C5
2205,z,A4
2206,z,G5
2207,z,B4
2208,z,B4
2209,z,E5
2210,A3,C#5
2211,D4,A#5
2212,z,D5
2213,C3,C4
2214,z,B4
2215,z,z
2216,F3,F4
2217,z,A4
2218,z,A4
2219,F3,F4
2220,z,D5
2221,A#2,A#4
2222,D3,F#4A4
2223,z,F#4
2224,z,A5
2225,z,A4
2226,z,F#4
2227,z,E5
2228,z,D6
2229,F3,F4
2230,F3,D4
2231,z,D5
2232,z,A4
2233,z,z
2234,z,G5
2235,z,B5
2236,A3,B4D5
2237,z,z
2238,z,z
2239,z,E4
2240,z,C5
2241,z,B4
2242,z,F#4
2243,z,A4
2244,z,G5
2245,z,A4
2246,z,A5
2247,D3,G4B4
2248,C3,C4
2249,z,z
2250,z,A4
2251,z,E5
2252,F3,F4
2253,z,B4
2254,z,E4
2255,z,z
2256,z,D5
2257,z,E5
2258,E3G3,C5E5
2259,z,F#4
2260,z,E4G#4
2261,F3,F4
2262,z,E5
2263,z,D6
2264,z,E4
2265,z,F5
2266,z,F#4
2267,C4,G5A#5
2268,z,D5
2269,D3,F#4A4
2270,z,B4
2271,z,E4
2272,z,G4
2273,z,E5
2274,z,z
2275,F3,F4
2276,A3,C#6
2277,F3,D4
2278,z,G4
2279,z,B4
2280,z,A5
2281,z,E4
2282,z,A4
2283,A#2,A#4
2284,G3,B3G4
2285,z,z
2286,z,C5
2287,z,E4
2288,z,B4
2289,z,G4
2290,z,F#4
2291,z,E4
2292,D2,D4F#4A4D5
2293,z,G4
2294,z,z
2295,F3,D4
2296,z,D5
2297,z,D5
2298,z,E4
2299,z,D6
2300,z,C5
2301,z,A4
2302,z,A4
2303,z,z
2304,z,z
2305,z,E5
2306,z,C5
2307,z,A4
2308,z,D5
2309,z,G5
2310,B2,D4F4
2311,z,C5
2312,z,A4
2313,z,G4
2314,z,E5
2315,z,C6
2316,z,A5
2317,C4,D#5
2318,z,A5
2319,z,E5
2320,z,D5
2321,z,E4
2322,z,G4
2323,z,F5
2324,z,B4
2325,z,z
2326,z,E5
2327,C3,C4E4
2328,z,D6
2329,z,F#5
2330,A#2,A#4
2331,A3,C#5
2332,z,z
2333,z,G5
2334,z,E5
2335,A3,C#5
2336,z,F#4
2337,z,A4
2338,z,A4
2339,z,B5
2340,z,F5
2341,A3,C#5
2342,z,E4
2343,z,D5
2344,A#2,A#4
2345,D3,F#4A4
2346,C4,G5A#5
2347,z,D5
2348,z,A4
2349,A3,G#4
2350,B3,G4D5
2351,z,D6
2352,z,C6
2353,z,D5
2354,z,A4
2355,z,E4
2356,z,C5
2357,z,F#5
2358,A3,D#5G5
2359,z,C5
2360,z,F#4
2361,z,E5
2362,D3,F#4A4
2363,z,D6
2364,F3,D4
2365,z,B4
2366,z,A4
2367,G3,D#4
2368,z,G4
2369,z,G4
2370,z,C5
2371,A3,G#4
2372,z,A4
2373,z,D5
2374,z,A4
2375,z,E5
2376,z,B4
2377,z,z
2378,F3,F4
2379,z,E4
2380,z,A5
2381,C4,D#5
2382,z,D5
2383,z,G4
2384,z,A5
2385,z,D5
2386,C3,C4
2387,A#2,A#3
2388,A#2,A#4
2389,z,C5
2390,z,C5
2391,z,C5
2392,A#2,A#4
2393,G3,D5F5
2394,z,E5
2395,z,C5
2396,z,C6
2397,z,F#4
2398,z,A4
2399,z,B5
2400,A3,C#5E5
2401,A#2,A#3
2402,C3,C4
2403,z,G5
2404,z,F#5
2405,z,B5
2406,F3,F5A5
2407,z,G4
2408,z,E5
2409,G3,D5F5
2410,z,E4G#4
2411,G3,D#4
2412,A#2,A#4
2413,F3,D4
2414,z,C5
2415,z,C5
2416,z,D5
2417,D3,F#4A4
2418,z,A5
2419,F3,F5A5
2420,z,D5
2421,z,G4
2422,z,z
2423,z,G4
2424,z,F5
2425,z,D5
2426,z,B4
2427,z,F#5
2428,z,z
2429,z,A4
2430,A3,C#5
2431,z,A4
2432,z,z
2433,z,z
2434,E3,C#4
2435,E2,E3C4
2436,z,D6
2437,z,E5
2438,z,z
2439,z,C5
2440,z,G5
2441,A#2,A#4
2442,z,B4
2443,z,E5
2444,z,E5
2445,z,F#5
2446,z,B5
2447,z,G4
2448,z,F5
2449,z,G5
2450,z,F#4
2451,z,z
2452,z,A4
2453,z,C5
2454,z,G4
2455,F3,F4
2456,z,G4
2457,z,D5
2458,z,B4
2459,z,D5
2460,z,z
2461,z,F5
2462,z,F#5
2463,z,B4
2464,z,E4G4
2465,z,G5
2466,z,C5
2467,z,G5
2468,z,D6
2469,F3,F4
2470,z,D5
2471,z,G5
2472,z,F5
2473,B2,D4F4
2474,z,C6
2475,E2,E3C4
